osm_id,highway,name,name_es,lanes,lanes_forward,lanes_backward,turn_lanes,oneway,maxspeed,surface,width,road_category,lanes_count,lanes_source,has_lane_data,lanes_missing,lanes_estimate,estimate_is_fallback,is_oneway
1074307259,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074307272,tertiary,Carrera 50,,1,,,,yes,30,asphalt,7,local,1.0,osm:lanes,True,False,1.0,False,True
1074307286,residential,Carrera 60,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1074335620,residential,Carrera 66,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335621,tertiary,Carrera 65,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335623,residential,Carrera 67,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335624,residential,Carrera 67,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335630,residential,Carrera 67,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335636,residential,Carrera 66,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335637,residential,Carrera 67,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074335638,residential,Carrera 67,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
1074348257,primary,Avenida Carrera 68,,4,,,,yes,30,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
1074348259,primary,Avenida Carrera 68,,4,,,,yes,,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
1074348263,primary,Avenida Carrera 68,,4,,,,yes,30,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
1074348264,primary,Avenida Carrera 68,,4,,,,yes,,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
1074365950,residential,Calle 72A,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1074365963,tertiary,Calle 66,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1074504240,tertiary,Carrera 64,,2,,,,no,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1074505581,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505582,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505583,primary,Transversal 60,,4,,,,yes,30,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
